Column 1,Column 2,Column 3,Column 4
Power,VoltageCheck_Safety_VBAT4V3,BATT_POWER_ON,0.006131
Power,VoltageCheck_Safety_VBAT4V3,DELAY_10MS_1,0.014174
Power,VoltageCheck_Safety_VBAT4V3,VBAT_SET_4V3,0.018524
Power,VoltageCheck_Safety_VBAT4V3,DELAY_400MS,0.404571
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_SMALL,0.006737
Power,VoltageCheck_Safety_VBAT4V3,PPBATT_VCC_FB,0.102489
Power,VoltageCheck_Safety_VBAT4V3,BATT_RESET_CURRENT,0.436195
Power,VoltageCheck_Safety_VBAT4V3,DELAY_1000MS_1,1.005715
Power,VoltageCheck_Safety_VBAT4V3,BATT_RESET_CURRENT_D1sec,0.433645
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_BIG_1,0.007948
Power,Discharge_BatteryFloat,BATT_POWER_OFF,0.008112
Power,Discharge_BatteryFloat,VBAT_SET_0V,0.016206
Power,Discharge_BatteryFloat,DELAY_10MS_2,0.012949
Power,Discharge_BatteryFloat,ELOAD_INPUT1_TO_PPVCC_MAIN,0.019549
Power,Discharge_BatteryFloat,Enable_Eload1_After_Connect,0.007468
Power,Discharge_BatteryFloat,Set_Eload1_200mA,0.118162
Power,Discharge_BatteryFloat,Delay_1500MS_4,1.502778
Power,Discharge_BatteryFloat,Set_Eload1_0mA,0.123354
Power,Discharge_BatteryFloat,Eload1_Disable,0.112799
Power,Discharge_BatteryFloat,ELOAD_INPUT1_DISCONNECT_PPVCC_MAIN,0.027229
Power,VoltageCheck_Safety_VBAT0V4,BATT_POWER_ON,0.008450
Power,VoltageCheck_Safety_VBAT0V4,Set_VBAT_0V4,0.018219
Power,VoltageCheck_Safety_VBAT0V4,Delay_2000MS_4,2.002972
Power,VoltageCheck_Safety_VBAT0V4,BATT_POWER_OFF,0.008364
Power,VoltageCheck_Safety_VBAT0V4,Set_VBAT_0V,0.017678
Power,VoltageCheck_Safety_VBUS5V,PP5V0_TO_VDM_BOARD,0.006110
Power,VoltageCheck_Safety_VBUS5V,Set_LDO_PP_5V0_ON,0.018624
Power,VoltageCheck_Safety_VBUS5V,Change_VDM_PDO_TO_2,0.015417
Power,VoltageCheck_Safety_VBUS5V,5V_To_VDM_EXT,0.015203
Power,VoltageCheck_Safety_VBUS5V,ACE_SBU_Conn_SWD,0.008569
Power,VoltageCheck_Safety_VBUS5V,Power_To_VDM,0.011358
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_1,0.014026
Power,VoltageCheck_Safety_VBUS5V,USB_POWER_ON,0.008452
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_3,0.014337
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_USB_EMI_VDM,0.005471
Power,VoltageCheck_Safety_VBUS5V,VBUS_to_5V,0.018259
Power,VoltageCheck_Safety_VBUS5V,VDM_CC1_TO_ACE_CC1,0.007480
,,,
,,,
,,,
Power,VoltageCheck_Safety_VBUS5V,DELAY_2000MS,2.005998
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_FB_DEBUG_1,0.323179
Power,VoltageCheck_Safety_VBUS5V,Set_GAIN_100_DEBUG,0.037502
Power,VoltageCheck_Safety_VBUS5V,IBUS_DEBUG,0.132612
Power,VoltageCheck_Safety_VBUS5V,Set_GAIN_10_DEBUG,0.036793
Power,VoltageCheck_Safety_VBUS5V,VBUS_to_0V,0.015812
Power,VoltageCheck_Safety_VBUS5V,VDM_CC1_TO_DISCONNECT,0.007542
Power,VoltageCheck_Safety_VBUS5V,USB_POWER_OFF,0.009208
Power,VoltageCheck_Safety_VBUS5V,Change_PDO_Count_TO_5,0.655502
Power,VoltageCheck_Safety_VBUS5V,Disable_USB_cable,0.016483
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_USB_EMI_DISCONNECT,0.006763
Power,VoltageCheck_Safety_VBUS5V,Power_To_DISCONNECT,0.013453
Power,VoltageCheck_Safety_VBUS5V,PP5V0_TO_VDM_DISCONNECT,0.005517
Power,Discharge_Initial_3,PPVBUS_USB_EMI_DISCHARGE_CONNECT,0.007486
Power,Discharge_Initial_3,PPBATT_VCC_DISCHARGE_CONNECT,0.007031
Power,Discharge_Initial_3,PPVCC_MAIN_DISCHARGE_CONNECT,0.007195
Power,Discharge_Initial_3,PPVCC_HIGH_DISCHARGE_CONNECT,0.008636
Power,Discharge_Initial_3,SPK_BST_Discharge,0.008079
Power,Discharge_Initial_3,DELAY_2000MS_After_Connect_Discharge,2.002435
Power,Discharge_Initial_3,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,0.007366
Power,Discharge_Initial_3,PPBATT_VCC_DISCHARGE_DISCONNECT,0.005785
Power,Discharge_Initial_3,PPVCC_MAIN_DISCHARGE_DISCONNECT,0.006900
Power,Discharge_Initial_3,PPVCC_HIGH_DISCHARGE_DISCONNECT,0.007515
Power,Discharge_Initial_3,SPK_BST_Discharge_Disable,0.006416
Power,VoltageCheck_Safety_VBUS5V,BATT_POWER_ON,0.007105
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_2,0.014034
Power,VoltageCheck_Safety_VBUS5V,VBAT_SET_4V3,0.018522
Power,On_Seq,ACE_SBU_Conn_SWD,0.008991
Power,On_Seq,Power_To_VDM,0.010955
Power,On_Seq,DELAY_200MS_2,0.206975
Power,On_Seq,PP5V0_TO_VDM_BOARD,0.007380
Power,On_Seq,Set_LDO_PP_5V0_ON,0.019008
,,,
Power,On_Seq,Change_VDM_PDO_TO_2,0.014686
Power,On_Seq,Change_PDO2_TO_9V2A,0.015377
Power,On_Seq,DELAY_10MS_2,0.013978
Power,On_Seq,USB_POWER_ON,0.008373
Power,On_Seq,DELAY_10MS_3,0.013436
Power,On_Seq,PPVBUS_USB_EMI_VDM,0.008589
Power,On_Seq,VBUS_to_9V,0.019034
Power,On_Seq,Start_Dock,1.007269
Power,On_Seq,DELAY_100mS_1,0.103176
Power,On_Seq,Enable_DC,0.012849
Power,On_Seq,DELAY_1000mS_1,1.005382
Power,On_Seq,VDM_CC1_TO_ACE_CC1,0.008762
Power,On_Seq,DELAY_1000MS_1,1.003149
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,ACE_HReset_H,0.005672
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,ACE_SPI_To_Xavier,0.007765
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,DELAY_100MS,0.106992
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,ACE_Erase,10.264020
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,DELAY_500MS,0.503721
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,ACE_FWDL,2.498118
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,Check_ACE_FW_UUT,2.015654
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,ACE_SPI_Disconnect,0.007967
USBC,AceFWDL_SPI_VBAT4V3_VBUS5V,ACE_HReset_L,0.005661
USBC,ForceDFU_VDM,USB_POWER_OFF,0.008752
USBC,ForceDFU_VDM,PP5V0_TO_VDM_BOARD_DISCONNECT,0.006670
USBC,ForceDFU_VDM,DELAY_1000MS_1,1.004230
USBC,ForceDFU_VDM,PP5V0_TO_VDM_BOARD,0.007382
USBC,ForceDFU_VDM,USB_POWER_ON,0.009035
USBC,ForceDFU_VDM,DELAY_1000MS_4,1.003495
USBC,ForceDFU_VDM,Disable_ADVDM,0.013876
USBC,ForceDFU_VDM,DELAY_1000MS_2,1.003383
USBC,ForceDFU_VDM,Force_DFU,2.217496
USBC,ForceDFU_VDM,FORCE_DFU_SET_1,2.677386
USBC,ForceDFU_VDM,GPIO_FORCE_DFU,0.070258
USBC,ForceDFU_VDM,DELAY_1000MS_3,1.005864
USBC,ForceDFU_VDM,GPIO_1V2_SOC2ACE_DFU_STATUS,0.110922
Process,Transition_Diags_DeadBattery2V5,VDM_CC1_TO_DISCONNECT,0.008714
Process,Transition_Diags_DeadBattery2V5,FORCE_DFU_SET_Discharge,5.951606
Process,Transition_Diags_DeadBattery2V5,UUT_UART_ENABLE,0.006085
Process,Transition_Diags_DeadBattery2V5,Bellatrix_UART_ENABLE,0.005621
Process,Transition_Diags_DeadBattery2V5,VBAT_SET_2V5,0.887617
Process,Transition_Diags_DeadBattery2V5,UVP_Enable,0.009814
Process,Transition_Diags_DeadBattery2V5,DELAY_200MS_2,0.204113
Process,Transition_Diags_DeadBattery2V5,PP5V0_TO_VDM_BOARD,0.008777
Process,Transition_Diags_DeadBattery2V5,Set_LDO_PP_5V0_ON,0.019251
Process,Transition_Diags_DeadBattery2V5,DELAY_1000mS_2,1.006451
Process,Transition_Diags_DeadBattery2V5,VDM_CC1_TO_ACE_CC1_1,0.009313
Process,Transition_Diags_DeadBattery2V5,DELAY_1500MS_1,1.503852
Process,Transition_Diags_DeadBattery2V5,Start_Dock,1.007494
Process,Transition_Diags_DeadBattery2V5,DELAY_100mS_1,0.106199
Process,Transition_Diags_DeadBattery2V5,Enable_DC,0.013061
Process,Transition_Diags_DeadBattery2V5,DELAY_1000mS_1,1.003394
Process,Transition_Diags_DeadBattery2V5,Enalble_ADVDM,0.014155
Process,Transition_Diags_DeadBattery2V5,DELAY_2000MS_1,2.006814
Process,Transition_Diags_DeadBattery2V5,PD_Contract_Check_9V,0.009753
Process,Transition_Diags_DeadBattery2V5,PPVBUS_FB_DEBUG_1,0.327215
Process,Transition_Diags_DeadBattery2V5,PP3V3_ACE_LDO_IBoot,0.102707
Process,Transition_Diags_DeadBattery2V5,PP3V3_S2_ACE_PARROT,0.102317
Process,Transition_Diags_DeadBattery2V5,DELAY_1000MS_5,1.006326
Process,Transition_Diags_DeadBattery2V5,Dock_Connect_Detect,0.502738
Process,Transition_Diags_DeadBattery2V5,DIAGS_ENTER,12.688641
Process,Transition_Diags_DeadBattery2V5,Diags_Version,0.110067
Process,Transition_Diags_DeadBattery2V5,BATTERY_Voltage_FB,0.103273
DUTInfo,Syscfg_SanityCheck_MLBSN,Format,0.022429
DUTInfo,MLBSN,Check,0.225751
Process,CB,FCT_CB_Check,0.319105
Process,CB,DFU_CB_Check,0.330127
Process,CB,ICT_CB_Check,0.318178
Process,Transition_Diags_VBAT4V3,VBAT_SET_4V3,0.016091
Process,Transition_Diags_VBAT4V3,PPBATT_VCC_FB,0.103377
Process,Transition_Diags_VBAT4V3,Disable_SMC,0.023798
Process,Transition_Diags_VBAT4V3,Syscfg_init,0.013391
PMU,GPIOCheck,GPIO_POTOMAC_TO_PMU_WAKE_1V8_EN,0.012486
PMU,GPIOCheck,GPIO_POTOMAC_TO_PMU_WAKE_1V8_HIGH_1,0.104495
PMU,GPIOCheck,GPIO_POTOMAC_TO_SOC_TO_PMU_IRQ_L_HIGH,0.154962
Process,Transition_Diags_VBAT4V3_1,VDM_CC1_TO_DISCONNECT_1,0.009275
Process,Transition_Diags_VBAT4V3_1,Change_PDO_Count_TO_5,0.651197
Process,Transition_Diags_VBAT4V3_1,Change_VDM_PDO_TO_4,0.015022
Process,Transition_Diags_VBAT4V3_1,5V_To_VDM_EXT,0.016311
Process,Transition_Diags_VBAT4V3_1,5V_To_VDM_EXT_2,0.016132
Process,Transition_Diags_VBAT4V3_1,5V_To_VDM_EXT_3,0.015950
Process,Transition_Diags_VBAT4V3_1,5V_To_VDM_EXT_4,0.016484
Process,Transition_Diags_VBAT4V3_1,Disable_USB_cable,0.016527
Process,Transition_Diags_VBAT4V3_1,PP5V0_TO_VDM_BOARD_DISCONNECT,0.008461
Process,Transition_Diags_VBAT4V3_1,Set_LDO_PP_5V0_0V,0.019092
Process,Transition_Diags_VBAT4V3_1,Set_VBUS_to_5V,0.018206
Process,Transition_Diags_VBAT4V3_1,VDM_CC1_TO_ACE_CC1_2,0.008397
Process,Transition_Diags_VBAT4V3_1,DELAY_1000MS_6,1.002840
Process,Transition_Diags_VBAT4V3_1,Dock_Connect_Detect_1,1.945721
Process,Transition_Diags_VBAT4V3_1,Send_Blank,0.024230
Process,Transition_Diags_VBAT4V3_1,GPIO_POTOMAC_TO_PMU_WAKE_1V8_LOW,0.103277
Process,Transition_Diags_VBAT4V3_1,PPVBUS_FB_DEBUG_2,0.325816
Process,Transition_Diags_VBAT4V3_1,ACE_ready,0.134150
Process,Transition_Diags_VBAT4V3_1,PD_State_Check,2.424780
Process,Transition_Diags_VBAT4V3_1,Get_PerfState,0.124136
Process,Transition_Diags_VBAT4V3_1,Enter_Test_Mode_Sera,0.095411
Process,Transition_Diags_VBAT4V3_1,Write_Reg_0x6862,0.011330
Process,Transition_Diags_VBAT4V3_1,Read_Reg_0x6862,0.067691
Process,Transition_Diags_VBAT4V3_1,Exit_Test_Mode_Sera,0.012356
Process,Transition_Diags_VBAT4V3_1,Read_Reg_0x6862_1,0.066016
Power,SwitchOver_VBUS5V_NoOrionPWR,GPIO_3V3_ACE2ORION_ACC_PWR_EN_L_H,0.078198
Power,SwitchOver_VBUS5V_NoOrionPWR,B2A_ACC_PWR_PRESENT_L_H_Fix,0.113371
Power,SwitchOver_VBUS5V_NoOrionPWR,B2A_ACC_PWR_PRESENT_L_H_Diags,0.099074
PMU,Button_Sera,DBL_CLICK_DET_Low,0.145322
PMU,Button_Sera,GPIO_BTN_ONOFF_L_TO_DISCONNECT_1,0.009160
PMU,Button_Sera,GPIO_BTN_ONOFF_L_TO_GND_1,0.008618
PMU,Button_Sera,Delay_10MS_1,0.013627
PMU,Button_Sera,GPIO_BTN_ONOFF_L_TO_DISCONNECT_2,0.009508
PMU,Button_Sera,Delay_10MS_2,0.013495
PMU,Button_Sera,GPIO_BTN_ONOFF_L_TO_GND_2,0.008232
PMU,Button_Sera,Delay_10MS_3,0.012270
PMU,Button_Sera,GPIO_BTN_ONOFF_L_TO_DISCONNECT_3,0.008988
PMU,Button_Sera,Delay_1000MS_4,1.005557
PMU,Button_Sera,DBL_CLICK_DET_High,0.126594
DUTInfo,ProjectCode,Check,0.001416
DUTInfo,Site,Check,0.001241
DUTInfo,BoardID,Check,0.065404
DUTInfo,BoardID,MLB_A_OR_MLB_B,0.001460
DUTInfo,BootConfig,MLB_B,0.077958
DUTInfo,BoardRevision,MLB,0.067339
SOC,Info,CHIPID,0.076947
SOC,Info,DIE_ID,0.001538
SOC,Info,FUSEID,0.001079
SOC,Info,ECID,0.001122
SOC,Info,ECID_Compare,0.017847
SOC,Info,Get_SOC_properites,0.625396
SOC,Info,SoC_Production_Stage,0.006815
SOC,Info,Fuse_Rev_LA,0.001345
SOC,Info,SOC_Revision_LA,0.001292
SOC,Info,Bin_cut_info_change_flag,0.001442
SOC,Info,IO_LEAKAGE_BIN_FUSE,0.001095
SOC,Info,MEMCTLR_CFG_SIZE,0.000981
SOC,Info,PROD_ID,0.000962
SOC,Info,DRAM_MEMORY_VENDOR,0.000949
SOC,Info,Get_SOC_leakage,0.091339
SOC,Info,CPU_SRAM_IO_LEAKAGE_BIN_FUSE,0.001883
SOC,Info,VDD_LOW_IO_LEAKAGE_BIN_FUSE,0.001399
SOC,Info,VDD_FIXED_IO_LEAKAGE_BIN_FUSE,0.001092
SOC,Info,ECPU_IO_LEAKAGE_BIN_FUSE,0.001280
SOC,Info,PCPU_IO_LEAKAGE_BIN_FUSE,0.001089
SOC,Info,CFG_FUSE0,0.110655
SOC,Info,CFG_FUSE1,0.001474
SOC,Info,CFG_FUSE2,0.001068
SOC,Info,CFG_FUSE3,0.001037
SOC,Info,CFG_FUSE4,0.001033
SOC,Info,CFG_FUSE5,0.001060
SOC,Info,CFG_FUSE6,0.001059
SOC,Info,CFG_FUSE7,0.001040
SOC,Info,CFG_FUSE8,0.001047
SOC,Info,CFG_FUSE9,0.001043
SOC,Info,CFG_FUSE10,0.001031
SOC,Info,CFG_FUSE11,0.001020
SOC,Info,CFG_FUSE12,0.001020
SOC,Info,CFG_FUSE13,0.001049
SOC,Info,CFG_FUSE14,0.001026
SOC,Info,CFG_FUSE15,0.001110
SOC,Info,Drive_Strength,0.058065
PMU,Info_Sera,Select,0.023589
PMU,Info_Sera,OTP_Revision,0.064240
PMU,Info_Sera,Platform_ID,0.125431
PMU,Info_Sera,Device_ID,0.025272
PMU,Info_Simetra,Select,0.023800
PMU,Info_Simetra,OTP_Revision,0.066011
PMU,Info_Simetra,Platform_ID,0.067485
PMU,Info_Simetra,Device_ID,0.023642
BatteryCharger,Info_Potomac,OTP_Revision,0.074330
BatteryCharger,Info_Potomac,Platform_ID,0.076469
BatteryCharger,Info_Potomac,Device_ID,0.079550
Fixture,GeneralAction,Stop_DockChannel,0.013822
USBC,AceOTPProgram,FW_Version,0.292513
USBC,AceOTPProgram,GPIO_ACE_TO_SOC_IRQ_L_Low,0.156360
USBC,AceOTPProgram,Get_Production_mode,0.709888
USBC,AceOTPProgram,Power_Set,1.076311
USBC,AceOTPProgram,PotomacRead_PPVBUS_PROT,0.133983
USBC,AceOTPProgram,PPVBUS_PROT,0.102640
USBC,AceOTPProgram,Check_ACE2_Operating_STATE,0.147144
USBC,AceOTPProgram,Check_CRC,0.105208
USBC,AceOTPProgram,CUSTOMER_WORDS,0.157377
USBC,AceOTPProgram,Get_otp_program_flag,0.001089
USBC,AceOTPProgram,Application_Customization_Data_Size,0.000811
USBC,AceOTPProgram,Application_Customization_Data_Size_prod_fuse,0.000615
USBC,AceOTPProgram,Key_Data_Size,0.001093
USBC,AceOTPProgram,KEY_DATA_FLAG,0.101674
USBC,AceOTPProgram,KEY_DATA_VALUE,0.272582
USBC,AceOTPProgram,KEY_DATA_CRC,0.169510
USBC,AceOTPProgram,Verify_FINAL_CRC,0.103521
USBC,AceOTPProgram,Verify_FINAL_CRC_prod_fuse,0.000636
USBC,AceOTPProgram,Power_Set_Back,1.959168
USBC,AceOTPProgram,PPVBUS_PROT_TO_5V,0.101870
USBC,AceOTPProgram,VDM_CC1_TO_DISCONNECT,0.008933
USBC,AceOTPProgram,ACE_HReset_H,0.006566
USBC,AceOTPProgram,DELAY_1000MS_1,1.002021
USBC,AceOTPProgram,GPIO_ACE_TO_SOC_IRQ_L_High,0.154590
USBC,AceOTPProgram,ACE_HReset_L,0.005860
USBC,AceOTPProgram,DELAY_1000MS_2,1.004994
USBC,AceOTPProgram,VDM_CC1_TO_ACE_CC1_1,0.010208
USBC,AceOTPProgram,DELAY_2000MS,2.002945
USBC,AceOTPProgram,ACE_SRDY,0.196090
USBC,AceOTPProgram,DELAY_1000MS,1.006569
USBC,AceOTPProgram,RECONFIRM_FINAL_CRC,0.107402
USBC,AceOTPProgram,RECONFIRM_FINAL_CRC_prod_fuse,0.000760
USBC,AceOTPProgram,PD_State_Check,0.101765
USBC,AceOTPProgram,NTC_10K,0.007616
USBC,AceOTPProgram,State_Default_LA,0.502472
Mic,GPMLogic_HallSensors_Untriggered,GPIO_APANEL_HALL_TO_PMU_IRQ_BUF_L_HIGH_PRE,0.156053
Mic,GPMLogic_HallSensors_Untriggered,GPIO_CPANEL_HALL_TO_PMU_IRQ_BUF_L_HIGH,0.153826
Mic,GPMLogic_HallSensors_Untriggered,SLG_TO_AOP_DMIC_DISABLE_WARN_L_HIGH,0.155553
Mic,GPMLogic_HallSensors_Untriggered,GPM_DMIC_DIASBLE_L_HIGH,0.113016
Mic,GPMLogic_HallSensors_Untriggered,DMIC_C3_CONNECT,0.018697
Mic,GPMLogic_HallSensors_Untriggered,DELAY_500MS_1,0.503519
Mic,GPMLogic_HallSensors_Untriggered,Output_pdm_Dmic2,0.007890
Mic,GPMLogic_HallSensors_Untriggered,DELAY_100MS,0.102628
Mic,GPMLogic_HallSensors_Untriggered,PDM_DMIC_C3_CONN_High,0.154921
Mic,GPMLogic_HallSensors_Untriggered,DMIC_C3_DISCONNECT,0.019007
Mic,GPMLogic_HallSensors_Triggered,Electromagnet_ON,0.429095
Mic,GPMLogic_HallSensors_Triggered,DELAY_500MS_2,0.504326
Mic,GPMLogic_HallSensors_Triggered,GPIO_CPANEL_HALL_TO_PMU_IRQ_BUF_L_LOW,0.165037
Mic,GPMLogic_HallSensors_Triggered,APANEL_2_HALL_IRQ_L_CONN_1V8_To_LOW,0.026063
Mic,GPMLogic_HallSensors_Triggered,DELAY_500MS_3,0.504280
Mic,GPMLogic_HallSensors_Triggered,GPIO_APANEL_HALL_TO_PMU_IRQ_BUF_L_LOW,0.120133
Mic,GPMLogic_HallSensors_Triggered,SLG_TO_AOP_DMIC_DISABLE_WARN_L_LOW,0.160093
Mic,GPMLogic_HallSensors_Triggered,GPM_DMIC_DIASBLE_L_LOW,0.113164
Mic,GPMLogic_HallSensors_Triggered,DMIC_FHC_CONNECT,0.019155
Mic,GPMLogic_HallSensors_Triggered,DELAY_500MS_1,0.504521
Mic,GPMLogic_HallSensors_Triggered,Output_pdm_Dmic2,0.005609
Mic,GPMLogic_HallSensors_Triggered,DELAY_100MS,0.108714
Mic,GPMLogic_HallSensors_Triggered,PDM_DMIC_FHC_Low,0.151173
Mic,GPMLogic_HallSensors_Triggered,DMIC_FHC_DisCONNECT,0.017902
Mic,GPMLogic_HallSensors_Untriggered_1,Disable_Electromagnet,0.218636
Mic,GPMLogic_HallSensors_Untriggered_1,APANEL_2_HALL_IRQ_L_CONN_1V8_TO_DISCONNECT,0.025501
Mic,GPMLogic_HallSensors_Untriggered_1,DELAY_500MS_4,0.504735
Mic,GPMLogic_HallSensors_Untriggered_1,GPIO_APANEL_HALL_TO_PMU_IRQ_BUF_L_HIGH_POST,0.143523
Mic,GPMLogic_HallSensors_Untriggered_1,Disable_Output_pdm,0.005341
Mic,GPMLogic_HallSensors_Untriggered_1,DMIC_DISCONNECT,0.018068
Power,VoltageCheck_Active,Check_Default_0x1932_DEBUG,0.133878
Power,VoltageCheck_Active,Disable_Potomac_buckboost_DEBUG,0.103981
Power,VoltageCheck_Active,DELAY_100MS_DEBUG,0.105018
Power,VoltageCheck_Active,PPVCC_MAIN,0.103691
Power,VoltageCheck_Active,PPBATT_VCC_DEBUG,0.103253
Power,VoltageCheck_Active,BATT_CURRENT_DEBUG,0.145478
Power,VoltageCheck_Active,PPVBUS_USB_EMI_DEBUG,0.101501
Power,VoltageCheck_Active,Set_GAIN_100_DEBUG,0.036011
Power,VoltageCheck_Active,IBUS_DEBUG,0.132807
